time,tmax,tmin,date
0001-04-06 00:00:00,15.833642,3.3949642,04-06
0001-04-07 00:00:00,15.22653,3.1703594,04-07
0001-04-08 00:00:00,14.494272,3.1587102,04-08
0001-04-09 00:00:00,14.9556055,2.162898,04-09
0001-04-10 00:00:00,15.357846,3.0825305,04-10
0001-04-11 00:00:00,15.755381,3.8886316,04-11
0001-04-12 00:00:00,14.73528,4.0352845,04-12
0001-04-13 00:00:00,15.587194,2.8069363,04-13
0001-04-14 00:00:00,16.697283,4.1733503,04-14
0001-04-15 00:00:00,16.78367,4.99344,04-15
0001-04-16 00:00:00,16.861973,5.053626,04-16
0001-04-17 00:00:00,17.233541,4.7795773,04-17
0001-04-18 00:00:00,17.632301,6.1744494,04-18
0001-04-19 00:00:00,18.36225,6.2938952,04-19
0001-04-20 00:00:00,17.430391,6.20053,04-20
0001-04-21 00:00:00,16.770905,5.4616375,04-21
0001-04-22 00:00:00,17.880198,5.024407,04-22
0001-04-23 00:00:00,17.52114,5.8816376,04-23
0001-04-24 00:00:00,18.931955,6.0617614,04-24
0001-04-25 00:00:00,18.438763,7.0962105,04-25
0001-04-26 00:00:00,18.297634,6.4788575,04-26
0001-04-27 00:00:00,17.496387,5.597388,04-27
0001-04-28 00:00:00,17.520449,5.7601557,04-28
0001-04-29 00:00:00,18.41212,7.380583,04-29
0001-04-30 00:00:00,17.25552,7.5948043,04-30
0001-05-01 00:00:00,17.900873,6.918397,05-01
0001-05-02 00:00:00,18.488201,7.6841984,05-02
0001-05-03 00:00:00,18.222755,7.749088,05-03
0001-05-04 00:00:00,19.56364,8.066024,05-04
0001-05-05 00:00:00,21.215372,9.070545,05-05
0001-05-06 00:00:00,21.03732,9.511222,05-06
0001-05-07 00:00:00,21.994858,10.316896,05-07
0001-05-08 00:00:00,21.46994,10.555808,05-08
0001-05-09 00:00:00,21.966526,10.108377,05-09
0001-05-10 00:00:00,22.306747,10.632678,05-10
0001-05-11 00:00:00,20.27646,10.2801075,05-11
0001-05-12 00:00:00,20.402016,9.269435,05-12
0001-05-13 00:00:00,20.391024,8.781255,05-13
0001-05-14 00:00:00,20.817327,9.269946,05-14
0001-05-15 00:00:00,21.128775,10.061644,05-15
0001-05-16 00:00:00,23.446703,10.570223,05-16
0001-05-17 00:00:00,23.080786,11.166717,05-17
0001-05-18 00:00:00,23.141808,11.253214,05-18
0001-05-19 00:00:00,22.917536,10.331576,05-19
0001-05-20 00:00:00,21.685211,11.691531,05-20
0001-05-21 00:00:00,22.12531,11.347755,05-21
0001-05-22 00:00:00,23.738634,11.718244,05-22
0001-05-23 00:00:00,23.863808,12.96183,05-23
0001-05-24 00:00:00,22.983873,13.058003,05-24
0001-05-25 00:00:00,22.757019,12.511202,05-25
0001-05-26 00:00:00,22.891838,12.42806,05-26
0001-05-27 00:00:00,24.063747,13.110294,05-27
0001-05-28 00:00:00,24.108747,14.171813,05-28
0001-05-29 00:00:00,24.591198,13.6301565,05-29
0001-05-30 00:00:00,25.839876,14.00285,05-30
0001-05-31 00:00:00,25.328217,13.649518,05-31
0001-06-01 00:00:00,24.98204,13.417784,06-01
0001-06-02 00:00:00,23.97603,13.800089,06-02
0001-06-03 00:00:00,24.677183,13.552887,06-03
0001-06-04 00:00:00,25.293814,14.66006,06-04
